;;P1;P1H1;P1H2;P2;P2H1;P2H2;P3;P3H1;P3H2;P4;P4H1;P4H2;P5;P5H1;P5H2;P6;P6H1;P6H2;Flop1;Flop2;Flop3;Turn;River;Dealer
;"1;KHTH2;5S4C 1";Jesse Sylvia;KH;TH;Zach Grunberg;5S;4C;Chris Limo;0;0;Simon Lam ;0;0;Taha Maruf;0;0;Farid Jattin;0;0;0;0;0;0;0;1
;"2;QS8H1;TD4D 1";Jesse Sylvia;TD;4D;Zach Grunberg;QS;8H;Chris Limo;0;0;Simon Lam ;0;0;Taha Maruf;0;0;Farid Jattin;0;0;0;0;0;0;0;1
;"1;JH4H2;AS2C;;JC8C9CQSKD 1";Jesse Sylvia;JH;4H;Zach Grunberg;AS;2C;Chris Limo;0;0;Simon Lam ;0;0;Taha Maruf;0;0;Farid Jattin;0;0;JC;8C;9C;QS;KD;1
1 Sam 2 Dickie 3 Paul 4 Tyler 5 Aknush 6 Noah;"5;QD4D6;8C7C1;JH3S2;KSQC3;KHKC4;TD5H;;JS6S4HTC9H 0";Sam Panzica;JH;3S;Dickie Malone;KS;QC;Paul Balzno;KH;KC;Tyler Patterson;TD;5H;Aknush Mandavia;QD;4D;Noah Schwartz;8C;7C;JS;6S;4H;TC;9H;0
;"6;KH8C1;3S3H2;AS6C4;KD3D5;6D4C;;QHKCAD        0";Sam Panzica;3S;3H;Dickie Malone;AS;6C;Paul Balzno;0;0;Tyler Patterson;KD;3D;Aknush Mandavia;6D;4C;Noah Schwartz;KH;8C;QH;KC;AD;  ;  ;0
;"1;8S6D2;QDJS4;6C4C5;6S3C6;JD5D 0";Sam Panzica;8S;6D;Dickie Malone;QD;JS;Paul Balzno;0;0;Tyler Patterson;6C;4C;Aknush Mandavia;6S;3C;Noah Schwartz;JD;5D;0;0;0;0;0;0
;"4;JC4H5;7C6D6;4C2D1;6C5H2;6C5H;;6S7H3STD7D 0";Sam Panzica;6C;5H;Dickie Malone;8S;3C;Paul Balzno;0;0;Tyler Patterson;JC;4H;Aknush Mandavia;7C;6D;Noah Schwartz;4C;2D;6S;7H;3S;TD;7D;0
;"5;KS5D6;JH4H1;AC8D2;KD8H4;9H8C;;7C2DAD6HJC 0";Sam Panzica;AC;8D;Dickie Malone;KD;8H;Paul Balzno;0;0;Tyler Patterson;9H;8C;Aknush Mandavia;KS;5D;Noah Schwartz;JH;4H;7C;2D;AD;6H;JC;0
;"1;JH7D2;5H5C4;7S6H5;9C8H6;5S2H 0";Sam Panzica;JH;7D;Dickie Malone;5H;5C;Paul Balzno;0;0;Tyler Patterson;7S;6H;Aknush Mandavia;9C;8H;Noah Schwartz;5S;2H;0;0;0;0;0;0
;"2;AH6S4;JC4S5;5H3C6;QS9C1;6D3S 0";Sam Panzica;6D;3S;Dickie Malone;AH;6S;Paul Balzno;0;0;Tyler Patterson;JC;4S;Aknush Mandavia;5H;3C;Noah Schwartz;QS;9C;0;0;0;0;0;0
;"4;TS4D5;JD6S6;KSQH1;AC3S2;AHKH;;5D5S6H2S5C 0";Sam Panzica;AC;3S;Dickie Malone;AH;KH;Paul Balzno;0;0;Tyler Patterson;TS;4D;Aknush Mandavia;JD;6S;Noah Schwartz;KS;QH;5D;5S;6H;2S;5C;0
;"1;ASJS2;QSJC4;5C4H5;JD7D;;ADACKH9C6C 0";Sam Panzica;AS;JS;Dickie Malone;QS;JC;Paul Balzno;0;0;Tyler Patterson;5C;4H;Aknush Mandavia;JD;7D;Noah Schwartz;0;0;AD;AC;KH;9C;6C;0
;"2;QH5S4;TH4S5;AC4H1;7S3C 0";Sam Panzica;7S;3C;Dickie Malone;QH;5S;Paul Balzno;0;0;Tyler Patterson;TH;4S;Aknush Mandavia;AC;4H;Noah Schwartz;0;0;0;0;0;0;0;0
;"5;JHJD1;AD2H2;QH6H4;JC6C 0";Sam Panzica;AD;2H;Dickie Malone;QH;6H;Paul Balzno;0;0;Tyler Patterson;JC;6C;Aknush Mandavia;JH;JD;Noah Schwartz;0;0;0;0;0;0;0;0
;"1;9H3C2;QS5D4;AC9S5;KD8C 0";Sam Panzica;9H;3C;Dickie Malone;QS;5D;Paul Balzno;0;0;Tyler Patterson;AC;9S;Aknush Mandavia;KD;8C;Noah Schwartz;0;0;0;0;0;0;0;0
;"2;AC9C4;JD9H5;8D3C1;TS8H;;JH3DKH6H     0";Sam Panzica;TS;8H;Dickie Malone;AC;9C;Paul Balzno;0;0;Tyler Patterson;JD;9H;Aknush Mandavia;8D;3C;Noah Schwartz;0;0;JH;3D;KH;6H;  ;0
;"5;JH2S1;4S2C2;JCTD4;JDTH;;KHAH4C6DQS 0";Sam Panzica;4S;2C;Dickie Malone;JC;TD;Paul Balzno;0;0;Tyler Patterson;JD;TH;Aknush Mandavia;JH;2S;Noah Schwartz;0;0;KH;AH;4C;6D;QS;0
;"2;JD4D4;KC2S5;AH7C1;JS3D 1";Sam Panzica;JS;3D;Dickie Malone;JD;4D;Paul Balzno;0;0;Tyler Patterson;KC;2S;Aknush Mandavia;AH;7C;Noah Schwartz;0;0;0;0;0;0;0;1
;"4;AC4D5;JC3S1;KDQC2;KHTC;;8S2D8D3C8C 1";Sam Panzica;KD;QC;Dickie Malone;KH;TC;Paul Balzno;0;0;Tyler Patterson;AC;4D;Aknush Mandavia;JC;3S;Noah Schwartz;0;0;8S;2D;8D;3C;8C;1
;"5;7D2D1;6S3H2;QS3C4;KC8C 1";Sam Panzica;6S;3H;Dickie Malone;QS;3C;Paul Balzno;0;0;Tyler Patterson;KC;8C;Aknush Mandavia;7D;2D;Noah Schwartz;0;0;0;0;0;0;0;1
;"1;AHJH2;KC7H4;JS2S5;4S2H 1";Sam Panzica;AH;JH;Dickie Malone;KC;7H;Paul Balzno;0;0;Tyler Patterson;JS;2S;Aknush Mandavia;4S;2H;Noah Schwartz;0;0;0;0;0;0;0;1
;"2;KD8S4;8H7C5;AD4S1;5C2C 1";Sam Panzica;5C;2C;Dickie Malone;KD;8S;Paul Balzno;0;0;Tyler Patterson;8H;7C;Aknush Mandavia;AD;4S;Noah Schwartz;0;0;0;0;0;0;0;1
;"4;7C5C5;3H3D1;KCQD2;AD4D;;6HJHQH         1";Sam Panzica;KC;QD;Dickie Malone;AD;4D;Paul Balzno;0;0;Tyler Patterson;7C;5C;Aknush Mandavia;3H;3D;Noah Schwartz;0;0;6H;JH;QH;  ;  ;1
;"5;QS4D1;KS3H2;KH2D4;KCQH 1";Sam Panzica;KS;3H;Dickie Malone;KH;2D;Paul Balzno;0;0;Tyler Patterson;KC;QH;Aknush Mandavia;QS;4D;Noah Schwartz;0;0;0;0;0;0;0;1
;"1;QC8S2;KC5C4;AC2S5;QD4S 1";Sam Panzica;QC;8S;Dickie Malone;KC;5C;Paul Balzno;0;0;Tyler Patterson;AC;2S;Aknush Mandavia;QD;4S;Noah Schwartz;0;0;0;0;0;0;0;1
;"2;QS4C4;QC3S5;JD7H1;JSTD;;7DTC6H4D8D 1";Sam Panzica;JS;TD;Dickie Malone;QS;4C;Paul Balzno;0;0;Tyler Patterson;QC;3S;Aknush Mandavia;JD;7H;Noah Schwartz;0;0;7D;TC;6H;4D;8D;1
;"4;JC8C5;6D5H1;7D4D2;2D2C;;JD9S6C4S8H 1";Sam Panzica;7D;4D;Dickie Malone;2D;2C;Paul Balzno;0;0;Tyler Patterson;JC;8C;Aknush Mandavia;6D;5H;Noah Schwartz;0;0;JD;9S;6C;4S;8H;1
;"5;9H5C1;4C3S2;JS7C4;AH5S 1";Sam Panzica;4C;3S;Dickie Malone;JS;7C;Paul Balzno;0;0;Tyler Patterson;AH;5S;Aknush Mandavia;9H;5C;Noah Schwartz;0;0;0;0;0;0;0;1
;"1;KHJC2;8D8C4;6S3H5;4D3D;;5HACJD6D     1";Sam Panzica;KH;JC;Dickie Malone;8D;8C;Paul Balzno;0;0;Tyler Patterson;6S;3H;Aknush Mandavia;4D;3D;Noah Schwartz;0;0;5H;AC;JD;6D;  ;1
;"4;AD6C5;3S3C1;TC6D2;AC4C;;7H6H6SQCKH 0";Sam Panzica;TC;6D;Dickie Malone;AC;4C;Paul Balzno;0;0;Tyler Patterson;AD;6C;Aknush Mandavia;3S;3C;Noah Schwartz;0;0;7H;6H;6S;QC;KH;0
;"5;QH6C1;9C7S2;8H6D4;TH8C;;2DQCTDQDAC 0";Sam Panzica;9C;7S;Dickie Malone;8H;6D;Paul Balzno;0;0;Tyler Patterson;TH;8C;Aknush Mandavia;QH;6C;Noah Schwartz;0;0;2D;QC;TD;QD;AC;0
;"2;8D7H4;KH7D5;9C7S1;QS3H 0";Sam Panzica;QS;3H;Dickie Malone;8D;7H;Paul Balzno;0;0;Tyler Patterson;KH;7D;Aknush Mandavia;9C;7S;Noah Schwartz;0;0;0;0;0;0;0;0
;"4;3H2C5;ADQC1;ASJS2;TC4H;;AC3C4C3D9S 0";Sam Panzica;AS;JS;Dickie Malone;TC;4H;Paul Balzno;0;0;Tyler Patterson;3H;2C;Aknush Mandavia;AD;QC;Noah Schwartz;0;0;AC;3C;4C;3D;9S;0
;"5;QD3D1;AC2C2;9D6C4;KSQC 0";Sam Panzica;AC;2C;Dickie Malone;9D;6C;Paul Balzno;0;0;Tyler Patterson;KS;QC;Aknush Mandavia;QD;3D;Noah Schwartz;0;0;0;0;0;0;0;0
;"1;9H5D2;ASQS4;KHKD5;TSTH;;2H4H8SAC5S 0";Sam Panzica;9H;5D;Dickie Malone;AS;QS;Paul Balzno;0;0;Tyler Patterson;KH;KD;Aknush Mandavia;TS;TH;Noah Schwartz;0;0;2H;4H;8S;AC;5S;0
;"1;4S3C2;AD4H;;TDAH3DJSJH 1";Sam Panzica;4S;3C;Dickie Malone;AD;4H;Paul Balzno;0;0;Tyler Patterson;0;0;Aknush Mandavia;0;0;Noah Schwartz;0;0;TD;AH;3D;JS;JH;1
;"2;JC8H1;9D8D;;8CJH4D3SKS 1";Sam Panzica;9D;8D;Dickie Malone;JC;8H;Paul Balzno;0;0;Tyler Patterson;0;0;Aknush Mandavia;0;0;Noah Schwartz;0;0;8C;JH;4D;3S;KS;1
;"1;TD4D2;JHTS;;8S4H8DJCTH 1";Sam Panzica;TD;4D;Dickie Malone;JH;TS;Paul Balzno;0;0;Tyler Patterson;0;0;Aknush Mandavia;0;0;Noah Schwartz;0;0;8S;4H;8D;JC;TH;1
;"1;THTC2;AC6C;;8DTS5SADJD 1";Sam Panzica;TH;TC;Dickie Malone;AC;6C;Paul Balzno;0;0;Tyler Patterson;0;0;Aknush Mandavia;0;0;Noah Schwartz;0;0;8D;TS;5S;AD;JD;1
;"2;KCQC1;ASJS;;3D5DJC        0";Sam Panzica;AS;JS;Dickie Malone;KC;QC;Paul Balzno;0;0;Tyler Patterson;0;0;Aknush Mandavia;0;0;Noah Schwartz;0;0;3D;5D;JC;  ;  ;0
;"1;AD7H2;5H3S;;TCKC7D3H4S 0";Sam Panzica;AD;7H;Dickie Malone;5H;3S;Paul Balzno;0;0;Tyler Patterson;0;0;Aknush Mandavia;0;0;Noah Schwartz;0;0;TC;KC;7D;3H;4S;0
;"1;TC8S2;5C4C;;JDQD2S            1";Sam Panzica;TC;8S;Dickie Malone;5C;4C;Paul Balzno;0;0;Tyler Patterson;0;0;Aknush Mandavia;0;0;Noah Schwartz;0;0;JD;QD;2S;  ;  ;1
;"2;5S5D1;AC3D 1";Sam Panzica;AC;3D;Dickie Malone;5S;5D;Paul Balzno;0;0;Tyler Patterson;0;0;Aknush Mandavia;0;0;Noah Schwartz;0;0;0;0;0;0;0;1
;"2;QD5D1;KC6D;;KS5C3H7H7D 1";Sam Panzica;KC;6D;Dickie Malone;QD;5D;Paul Balzno;0;0;Tyler Patterson;0;0;Aknush Mandavia;0;0;Noah Schwartz;0;0;KS;5C;3H;7H;7D;1
;"2;4S3S1;9D4D;;KS6C5DTC7S 1";Sam Panzica;9D;4D;Dickie Malone;4S;3S;Paul Balzno;0;0;Tyler Patterson;0;0;Aknush Mandavia;0;0;Noah Schwartz;0;0;KS;6C;5D;TC;7S;1
;"2;3S2H1;2S2D 1";Sam Panzica;2S;2D;Dickie Malone;3S;2H;Paul Balzno;0;0;Tyler Patterson;0;0;Aknush Mandavia;0;0;Noah Schwartz;0;0;0;0;0;0;0;1
;"2;TC8S1;9S2D 1";Sam Panzica;9S;2D;Dickie Malone;TC;8S;Paul Balzno;0;0;Tyler Patterson;0;0;Aknush Mandavia;0;0;Noah Schwartz;0;0;0;0;0;0;0;1
;"2;AH8H1;8D4C 1";Sam Panzica;8D;4C;Dickie Malone;AH;8H;Paul Balzno;0;0;Tyler Patterson;0;0;Aknush Mandavia;0;0;Noah Schwartz;0;0;0;0;0;0;0;1
;"1;QDJH2;AC2D 1";Sam Panzica;QD;JH;Dickie Malone;AC;2D;Paul Balzno;0;0;Tyler Patterson;0;0;Aknush Mandavia;0;0;Noah Schwartz;0;0;0;0;0;0;0;1
;"1;KH9C2;AC3D;;8S5S7D9SKC 1";Sam Panzica;KH;9C;Dickie Malone;AC;3D;Paul Balzno;0;0;Tyler Patterson;0;0;Aknush Mandavia;0;0;Noah Schwartz;0;0;8S;5S;7D;9S;KC;1
1 Nadir 2 Benny 3 Ilan 4 Mike 5 Ema 6 Jake;"2;3D3C3;AC4H4;TD5D5;KSTS6;9C3H1;8H4S 0";Nadir Lalji;8H;4S;Benny Chen ;3D;3C;Ilan Boujehan;AC;4H;Mike Sexton ;TD;5D;Ema Zajmovic;KS;TS;Jake Schwartz;9C;3H;0;0;0;0;0;0
;"3;KS3D4;TH3S5;5D3C6;JDTC1;ADJS2;9S4H 0";Nadir Lalji;AD;JS;Benny Chen ;9S;4H;Ilan Boujehan;KS;3D;Mike Sexton ;TH;3S;Ema Zajmovic;5D;3C;Jake Schwartz;JD;TC;0;0;0;0;0;0
;"5;5D2C6;QD9S1;7C2S2;9H3D3;TH7H4;AD4D;;ACQH8S      0";Nadir Lalji;7C;2S;Benny Chen ;9H;3D;Ilan Boujehan;TH;7H;Mike Sexton ;AD;4D;Ema Zajmovic;5D;2C;Jake Schwartz;QD;9S;AC;QH;8S;  ;  ;0
;"6;KC7H1;QC7C2;KD2S3;9S2H4;5S5C5;JS6S;;3S4SKS9C     0";Nadir Lalji;QC;7C;Benny Chen ;KD;2S;Ilan Boujehan;9S;2H;Mike Sexton ;5S;5C;Ema Zajmovic;JS;6S;Jake Schwartz;KC;7H;3S;4S;KS;9C;  ;0
;"1;7S5H2;4S4H3;9S9C4;KSKD5;8S8D6;7C6C 0";Nadir Lalji;7S;5H;Benny Chen ;4S;4H;Ilan Boujehan;9S;9C;Mike Sexton ;KS;KD;Ema Zajmovic;8S;8D;Jake Schwartz;7C;6C;0;0;0;0;0;0
;"3;6S6C4;4S3C5;AS3H6;7H3S1;TC7D2;QC7C 0";Nadir Lalji;TC;7D;Benny Chen ;QC;7C;Ilan Boujehan;6S;6C;Mike Sexton ;4S;3C;Ema Zajmovic;AS;3H;Jake Schwartz;7H;3S;0;0;0;0;0;0
;"4;AH7S5;5S3S6;QH2C1;AD4H2;8D6C3;KC5C;;2H3HKH        0";Nadir Lalji;AD;4H;Benny Chen ;8D;6C;Ilan Boujehan;KC;5C;Mike Sexton ;AH;7S;Ema Zajmovic;5S;3S;Jake Schwartz;QH;2C;2H;3H;KH;  ;  ;0
;"5;8C4S6;KSQD1;8S6D2;QH3C3;6H2S4;KSQD 0";Nadir Lalji;8S;6D;Benny Chen ;QH;3C;Ilan Boujehan;6H;2S;Mike Sexton ;KS;QD;Ema Zajmovic;8C;4S;Jake Schwartz;AH;KC;0;0;0;0;0;0
;"1;JC6D2;8S8D3;5H4C4;6H2D5;JS9H6;AD5S;;2H5D9CTD8H 0";Nadir Lalji;JC;6D;Benny Chen ;8S;8D;Ilan Boujehan;5H;4C;Mike Sexton ;6H;2D;Ema Zajmovic;JS;9H;Jake Schwartz;AD;5S;2H;5D;9C;TD;8H;0
;"4;QD2D5;ASKS6;AH3D1;9C6C2;9D2H3;ADTD;;8H7CAC9H      0";Nadir Lalji;9C;6C;Benny Chen ;9D;2H;Ilan Boujehan;AD;TD;Mike Sexton ;QD;2D;Ema Zajmovic;AS;KS;Jake Schwartz;AH;3D;8H;7C;AC;9H;  ;0
;"2;6S5D3;5C4D4;QH7S5;8C7H6;JD9H1;ACKS;;JCKCAS2DQD 0";Nadir Lalji;AC;KS;Benny Chen ;6S;5D;Ilan Boujehan;5C;4D;Mike Sexton ;QH;7S;Ema Zajmovic;8C;7H;Jake Schwartz;JD;9H;JC;KC;AS;2D;QD;0
;"5;JS8S1;KCTC2;9C5C3;QH4H4;TS4C;;5H2HKS      1";Nadir Lalji;KC;TC;Benny Chen ;9C;5C;Ilan Boujehan;QH;4H;Mike Sexton ;TS;4C;Ema Zajmovic;JS;8S;Jake Schwartz;0;0;5H;2H;KS;  ;  ;1
;"3;6H4D4;TD3C5;TS8H1;7S7H2;JS3S;;7D9D2DAD2S 1";Nadir Lalji;7S;7H;Benny Chen ;JS;3S;Ilan Boujehan;6H;4D;Mike Sexton ;TD;3C;Ema Zajmovic;TS;8H;Jake Schwartz;0;0;7D;9D;2D;AD;2S;1
;"4;ASQD5;7S3S1;7C4H2;8D5S3;TC7D;;5H4D8C9H    1";Nadir Lalji;7C;4H;Benny Chen ;8D;5S;Ilan Boujehan;TC;7D;Mike Sexton ;AS;QD;Ema Zajmovic;7S;3S;Jake Schwartz;0;0;5H;4D;8C;9H;  ;1
;"2;ASAD3;7D5D4;4C2C5;ACKH1;8C7S;;2D3SQCKC7C 1";Nadir Lalji;8C;7S;Benny Chen ;AS;AD;Ilan Boujehan;7D;5D;Mike Sexton ;4C;2C;Ema Zajmovic;AC;KH;Jake Schwartz;0;0;2D;3S;QC;KC;7C;1
;"4;8S7C5;KHJC1;9H9D2;9S8H3;JH3D;;KD3C5S4STD 1";Nadir Lalji;9H;9D;Benny Chen ;9S;8H;Ilan Boujehan;JH;3D;Mike Sexton ;8S;7C;Ema Zajmovic;KH;JC;Jake Schwartz;0;0;KD;3C;5S;4S;TD;1
;"5;AD4C1;8D2S2;KHTS3;QSQH4;QC6H 1";Nadir Lalji;8D;2S;Benny Chen ;KH;TS;Ilan Boujehan;QS;QH;Mike Sexton ;QC;6H;Ema Zajmovic;AD;4C;Jake Schwartz;0;0;0;0;0;0;0;1
;"5;AC3H1;5H4S2;JH8H3;6C2H4;AH8D 1";Nadir Lalji;5H;4S;Benny Chen ;JH;8H;Ilan Boujehan;6C;2H;Mike Sexton ;AH;8D;Ema Zajmovic;AC;3H;Jake Schwartz;0;0;0;0;0;0;0;1
;"1;8C6D2;KS4S3;KC7C4;5C2D5;9H4H;;9STSJHJDQS 1";Nadir Lalji;8C;6D;Benny Chen ;KS;4S;Ilan Boujehan;KC;7C;Mike Sexton ;5C;2D;Ema Zajmovic;9H;4H;Jake Schwartz;0;0;9S;TS;JH;JD;QS;1
;"2;9C4D3;QDTD4;6S2S5;QSJD1;TC8C;;9S7H7DAC5S 1";Nadir Lalji;TC;8C;Benny Chen ;9C;4D;Ilan Boujehan;QD;TD;Mike Sexton ;6S;2S;Ema Zajmovic;QS;JD;Jake Schwartz;0;0;9S;7H;7D;AC;5S;1
;"3;6S2C4;AHAD5;KDQH1;TS7C2;QS9D;;4C5S2D5D9S 1";Nadir Lalji;TS;7C;Benny Chen ;QS;9D;Ilan Boujehan;6S;2C;Mike Sexton ;AH;AD;Ema Zajmovic;KD;QH;Jake Schwartz;0;0;4C;5S;2D;5D;9S;1
;"4;JH5S1;KCTD2;QH9C3;TH4D;;QCAC8C          0";Nadir Lalji;KC;TD;Benny Chen ;QH;9C;Ilan Boujehan;TH;4D;Mike Sexton ;JH;5S;Ema Zajmovic;0;0;Jake Schwartz;0;0;QC;AC;8C;  ;  ;0
;"2;QC9S3;8H7H4;JD7C1;9D6D;;7D2C4HKD6H 0";Nadir Lalji;9D;6D;Benny Chen ;QC;9S;Ilan Boujehan;8H;7H;Mike Sexton ;JD;7C;Ema Zajmovic;0;0;Jake Schwartz;0;0;7D;2C;4H;KD;6H;0
;"2;JH4C3;AS9H4;TC4S1;5S3C;;8H2CTH5D3S 0";Nadir Lalji;5S;3C;Benny Chen ;JH;4C;Ilan Boujehan;AS;9H;Mike Sexton ;TC;4S;Ema Zajmovic;0;0;Jake Schwartz;0;0;8H;2C;TH;5D;3S;0
;"3;KC3C4;QS8D1;AC9H2;AD2H;;2D5S3H4CKH 0";Nadir Lalji;AC;9H;Benny Chen ;AD;2H;Ilan Boujehan;KC;3C;Mike Sexton ;QS;8D;Ema Zajmovic;0;0;Jake Schwartz;0;0;2D;5S;3H;4C;KH;0
;"1;KH8C2;QS9H3;TD4H4;KC5C;;3DKDTS2HJS 0";Nadir Lalji;KH;8C;Benny Chen ;QS;9H;Ilan Boujehan;TD;4H;Mike Sexton ;KC;5C;Ema Zajmovic;0;0;Jake Schwartz;0;0;3D;KD;TS;2H;JS;0
;"4;QSQC1;6D3C2;KS8H3;9H8S;;9DKDTSKHKC 0";Nadir Lalji;6D;3C;Benny Chen ;KS;8H;Ilan Boujehan;9H;8S;Mike Sexton ;QS;QC;Ema Zajmovic;0;0;Jake Schwartz;0;0;9D;KD;TS;KH;KC;0
;"2;AD6H3;TC7C4;KS5C1;8C6D;;TS2H6CJS9H 0";Nadir Lalji;8C;6D;Benny Chen ;AD;6H;Ilan Boujehan;TC;7C;Mike Sexton ;KS;5C;Ema Zajmovic;0;0;Jake Schwartz;0;0;TS;2H;6C;JS;9H;0
;"4;AH8C1;8S3H2;ASAC3;6S6C;;9DTHADJS9H 0";Nadir Lalji;8S;3H;Benny Chen ;AS;AC;Ilan Boujehan;6S;6C;Mike Sexton ;AH;8C;Ema Zajmovic;0;0;Jake Schwartz;0;0;9D;TH;AD;JS;9H;0
;"4;AHJH1;JC2H2;TC9H;;7D7S3DTS8H 1";Nadir Lalji;JC;2H;Benny Chen ;TC;9H;Ilan Boujehan;0;0;Mike Sexton ;AH;JH;Ema Zajmovic;0;0;Jake Schwartz;0;0;7D;7S;3D;TS;8H;1
;"2;9D7D4;ADQS1;QC6H;;7H7CTDKDTH 1";Nadir Lalji;QC;6H;Benny Chen ;9D;7D;Ilan Boujehan;0;0;Mike Sexton ;AD;QS;Ema Zajmovic;0;0;Jake Schwartz;0;0;7H;7C;TD;KD;TH;1
;"2;9H6D4;8H8D1;ADQH;;3CJH8C4S5H 1";Nadir Lalji;AD;QH;Benny Chen ;9H;6D;Ilan Boujehan;0;0;Mike Sexton ;8H;8D;Ema Zajmovic;0;0;Jake Schwartz;0;0;3C;JH;8C;4S;5H;1
;"4;AS9S2;8H4H;;QDAH9HTD8D 0";Nadir Lalji;0;0;Benny Chen ;8H;4H;Ilan Boujehan;0;0;Mike Sexton ;AS;9S;Ema Zajmovic;0;0;Jake Schwartz;0;0;QD;AH;9H;TD;8D;0
;"2;KCQS4;7H5H;;5STCQCAC7S 0";Nadir Lalji;0;0;Benny Chen ;KC;QS;Ilan Boujehan;0;0;Mike Sexton ;7H;5H;Ema Zajmovic;0;0;Jake Schwartz;0;0;5S;TC;QC;AC;7S;0
;"4;8S6C2;JC3C;;3S6H6S        0";Nadir Lalji;0;0;Benny Chen ;JC;3C;Ilan Boujehan;0;0;Mike Sexton ;8S;6C;Ema Zajmovic;0;0;Jake Schwartz;0;0;3S;6H;6S;  ;  ;0
;"4;6D3H2;8D6S;;AH7D5SQD8H 0";Nadir Lalji;0;0;Benny Chen ;8D;6S;Ilan Boujehan;0;0;Mike Sexton ;6D;3H;Ema Zajmovic;0;0;Jake Schwartz;0;0;AH;7D;5S;QD;8H;0
;"2;9C8H4;KC7C;;5C9STCQC5H 0";Nadir Lalji;0;0;Benny Chen ;9C;8H;Ilan Boujehan;0;0;Mike Sexton ;KC;7C;Ema Zajmovic;0;0;Jake Schwartz;0;0;5C;9S;TC;QC;5H;0
;"4;5S4S2;ASTC;;2S8C6DTH     0";Nadir Lalji;0;0;Benny Chen ;AS;TC;Ilan Boujehan;0;0;Mike Sexton ;5S;4S;Ema Zajmovic;0;0;Jake Schwartz;0;0;2S;8C;6D;TH;  ;0
;"4;AS4C2;TH7D;;QH8D9DQD6S 0";Nadir Lalji;0;0;Benny Chen ;TH;7D;Ilan Boujehan;0;0;Mike Sexton ;AS;4C;Ema Zajmovic;0;0;Jake Schwartz;0;0;QH;8D;9D;QD;6S;0
;"4;3C2D2;ASKH 1";Nadir Lalji;0;0;Benny Chen ;AS;KH;Ilan Boujehan;0;0;Mike Sexton ;3C;2D;Ema Zajmovic;0;0;Jake Schwartz;0;0;0;0;0;0;0;1
;"2;9D4D4;QDTH;;2DQH7C2SJH 1";Nadir Lalji;0;0;Benny Chen ;9D;4D;Ilan Boujehan;0;0;Mike Sexton ;QD;TH;Ema Zajmovic;0;0;Jake Schwartz;0;0;2D;QH;7C;2S;JH;1
;"4;KCJS2;ADAC;;9C8C4H        1";Nadir Lalji;0;0;Benny Chen ;AD;AC;Ilan Boujehan;0;0;Mike Sexton ;KC;JS;Ema Zajmovic;0;0;Jake Schwartz;0;0;9C;8C;4H;  ;  ;1
;"2;AC7H4;8C6H;;7C8SQC4D7S 1";Nadir Lalji;0;0;Benny Chen ;AC;7H;Ilan Boujehan;0;0;Mike Sexton ;8C;6H;Ema Zajmovic;0;0;Jake Schwartz;0;0;7C;8S;QC;4D;7S;1
;"2;KS7C4;KHKD;;9HTDTHQCQH 1";Nadir Lalji;0;0;Benny Chen ;KS;7C;Ilan Boujehan;0;0;Mike Sexton ;KH;KD;Ema Zajmovic;0;0;Jake Schwartz;0;0;9H;TD;TH;QC;QH;1
;"4;QS6S2;8D6D;;QCKC9H         0";Nadir Lalji;0;0;Benny Chen ;8D;6D;Ilan Boujehan;0;0;Mike Sexton ;QS;6S;Ema Zajmovic;0;0;Jake Schwartz;0;0;QC;KC;9H;  ;  ;0
;"2;KSKD4;AS6H;;4S3S5CJD       0";Nadir Lalji;0;0;Benny Chen ;KS;KD;Ilan Boujehan;0;0;Mike Sexton ;AS;6H;Ema Zajmovic;0;0;Jake Schwartz;0;0;4S;3S;5C;JD;  ;0
;"4;KS9H2;ADQH 0";Nadir Lalji;0;0;Benny Chen ;AD;QH;Ilan Boujehan;0;0;Mike Sexton ;KS;9H;Ema Zajmovic;0;0;Jake Schwartz;0;0;0;0;0;0;0;0
;"2;7D4C4;QC9C;;8DTC6CTH4S 0";Nadir Lalji;0;0;Benny Chen ;7D;4C;Ilan Boujehan;0;0;Mike Sexton ;QC;9C;Ema Zajmovic;0;0;Jake Schwartz;0;0;8D;TC;6C;TH;4S;0
;"4;JHTC2;AH8C;;5STS7H3S9C 0";Nadir Lalji;0;0;Benny Chen ;AH;8C;Ilan Boujehan;0;0;Mike Sexton ;JH;TC;Ema Zajmovic;0;0;Jake Schwartz;0;0;5S;TS;7H;3S;9C;0
;"4;2S2H2;AS5D 1";Nadir Lalji;0;0;Benny Chen ;AS;5D;Ilan Boujehan;0;0;Mike Sexton ;2S;2H;Ema Zajmovic;0;0;Jake Schwartz;0;0;0;0;0;0;0;1
;"2;KHTH4;AD2H 1";Nadir Lalji;0;0;Benny Chen ;KH;TH;Ilan Boujehan;0;0;Mike Sexton ;AD;2H;Ema Zajmovic;0;0;Jake Schwartz;0;0;0;0;0;0;0;1
;"2;QD9D4;8H5D;;TH9HJC3D7S 1";Nadir Lalji;0;0;Benny Chen ;QD;9D;Ilan Boujehan;0;0;Mike Sexton ;8H;5D;Ema Zajmovic;0;0;Jake Schwartz;0;0;TH;9H;JC;3D;7S;1
